pH,Turbidity,TDS,Conductivity,Dissolved_Oxygen,COD,BOD,Nitrate,Nitrite,Ammonia,Chlorine_Residual,Lead,Mercury,Arsenic,Cadmium,Coliform_Bacteria,Fluoride,Hardness,TSS,Potability
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.36,4.28,391.98,1305.76,5.33,12.8,1.29,16.04,0.21,3.89,1.19,0.0029,0.0007,0.0095,0.0087,29,0.14,113.7,144.05,0
7.67,0.22,720.7,1143.35,6.64,34.16,12.8,15.55,1.32,0.97,1.63,0.0122,0.001,0.0334,0.0051,49,1.08,98.33,109.8,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.07,0.52,425.77,1893.38,7.3,23.51,6.6,26.58,2.91,2.36,0.31,0.0117,0.0006,0.0469,0.0011,185,2.67,428.12,115.39,0
5.86,2.59,465.95,183.91,11.74,20.47,7.9,9.36,2.98,4.33,1.65,0.0131,0.0012,0.031,0.0027,130,0.41,94.81,41.1,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.96,0.06,221.4,691.54,12.59,48.31,7.73,34.31,2.25,2.5,1.45,0.005,0.001,0.0387,0.0036,171,2.07,90.92,109.47,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.94,1.15,246.34,1899.36,5.76,25.57,4.75,29.87,0.93,1.43,2.71,0.0107,0.0011,0.0012,0.0029,156,2.45,423.8,120.75,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.95,4.8,711.69,1775.55,9.04,36.76,12.72,35.52,2.82,1.02,1.93,0.0118,0.0017,0.0429,0.0075,97,1.9,322.97,37.72,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.87,2.25,1140.18,843.77,3.46,13.14,9.53,39.75,1.66,1.42,2.35,0.0166,0.001,0.0128,0.0052,44,0.86,33.41,100.88,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.83,2.98,74.56,901.06,10.52,15.52,2.86,15.97,1.14,0.03,1.56,0.004,0.0001,0.0107,0.004,190,1.23,222.77,89.49,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.85,3.43,866.87,1297.93,10.45,46.86,8.2,32.56,2.2,3.71,2.91,0.0078,0.0001,0.0359,0.0056,169,1.46,386.53,107.85,0
5.7,0.99,913.59,686.37,5.19,26.59,12.24,22.43,0.27,0.73,0.47,0.0182,0.0018,0.0405,0.0054,71,1.25,56.08,41.32,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.89,3.03,1143.76,263.17,7.03,45.87,14.37,11.65,2.6,2.59,0.23,0.0096,0.0019,0.0078,0.0033,97,1.55,470.35,5.8,0
8.65,3.44,836.2,928.42,6.03,15.48,3.14,20.49,2.39,0.5,3.51,0.0065,0.0015,0.0256,0.0023,16,2.37,234.08,74.02,0
7.48,1.45,765.57,1684.54,3.72,34.83,12.55,25.63,2.33,1.64,1.71,0.0117,0,0.0161,0.0026,100,1.35,413.68,115.5,0
